seller_id,total_orders,total_revenue,avg_order_value,late_delivery_rate,avg_review_score,total_product_value,total_freight_value
48436dade18ac8b2bce089ec2a041202,156,17508.62,112.23,0.0641,4.03,12366.21,3020.81
dd7ddc04e1b6c2c614352b383efe2d36,155,16014.54,103.32,0.1677,3.77,9836.67,3172.07
5b51032eddd242adc84c38acab88f23d,14,6183.26,441.66,0,3.79,3280,268.95
9d7a1d34a5052409006425275ba1c2b4,16,2556.23,159.76,0.0625,3.75,1054.82,277.05
df560393f3a51e74553ab94004ba5c87,37,4159.29,112.41,0.0541,3.68,4228.78,727.81
6426d21aca402a131fc0a5d0960a3c90,26,1593.82,61.3,0.0385,4.19,1389.34,436.36
7040e82f899a04d1b434b795a43b4617,241,14546.49,60.36,0.0871,3.57,9952.9,3404.94
5996cddab893a4652a15592fb58ab8db,1,880.75,880.75,0,5,810,70.75
a416b6a846a11724393025641d4edd5e,185,32193.18,174.02,0.1189,4.24,25643.63,3081.93
ba143b05f0110f0dc71ad71b4466ce92,89,7497.51,84.24,0.1461,4.49,6418.65,1401.52
cc419e0650a3c5ba77189a1882b7556a,1832,139936,76.38,0.0611,4.13,107332.86,26431.64
8602a61d680a10a82cceeeda0d99ea3d,22,1825.45,82.98,0.0455,4.36,973.98,306.3
4a3ca9315b744ce9f8e9374361493884,2116,300724.29,142.12,0.1059,3.82,212145.07,36963.26
1f50f920176fa81dab994f9023523100,2011,291526.94,144.97,0.0985,3.99,111594.61,37308.56
530ec6109d11eaaf87999465c6afee01,109,17326.2,158.96,0.0092,4.1,13243,2777.07
fcb5ace8bcc92f75707dc0f01a27d269,72,11986.66,166.48,0.0278,3.92,8065.15,921.99
fe2032dab1a61af8794248c8196565c9,310,77181.83,248.97,0.0871,4.39,66710.71,4819.78
218d46b86c1881d022bce9c68a7d4b15,428,74253.49,173.49,0.0911,4.17,54587.3,7581.93
8cbac7e12637ed9cffa18c7875207478,85,7204.3,84.76,0.0471,4.2,3113.46,1739.06
1c129092bf23f28a5930387c980c0dfc,224,17798.13,79.46,0.0536,4.2,9691.52,3077.19
ea8482cd71df3c1969d7b9473ff13abc,1224,60854.61,49.72,0.1029,3.99,37747.12,17856.79
7c67e1448b00f6e969d365cea6b010ab,1454,510915.44,351.39,0.0928,3.4,198334.27,54323.68
6560211a19b47992c3666cc44a7e94c0,2093,176467.46,84.31,0.0621,3.95,126278.81,28791.16
3504c0cb71d7fa48d967e0e4c94d59d9,58,3050.26,52.59,0,4.43,2548.8,732.1
c864036feaab8c1659f65ea4faebe1da,61,12299.77,201.64,0.0328,4.59,10883.9,1925.59
bfd27a966d91cfaafdb25d076585f0da,123,22238.04,180.8,0.0488,4.36,20540,2778.71
41b39e28db005d9731d9d485a83b4c38,246,31291.87,127.2,0.0528,4.16,17884.45,4145.82
16090f2ca825584b5a147ab24aa30c86,410,31826.64,77.63,0.1073,4.07,25757.05,5484.17
1554a68530182680ad5c8b042c3ab563,312,39547.15,126.75,0.0769,4.34,33017.61,7673.86
e59aa562b9f8076dd550fcddf0e73491,106,38875.08,366.75,0.066,4.46,41185.8,2835.21
77530e9772f57a62c906e1c21538ab82,395,82890.66,209.85,0.1139,4.1,48202.4,8566.6
a17f621c590ea0fab3d5d883e1630ec6,80,5847.74,73.1,0.0625,4.16,2749.95,1124.12
92eb0f42c21942b6552362b9b114707d,375,13100.06,34.93,0.072,3.93,6645.93,5013.13
8b321bb669392f5163d04c59e235e066,1018,39006.9,38.32,0.1041,4.02,17484.87,14128.93
a3e9a2c700480d9bb01fba070ba80a0e,168,21336.98,127.01,0.0893,4.07,16100.8,3808.8
a35124e2d763d7ca3fbe3b97d143200f,8,1303.75,162.97,0,4.5,461.25,99.69
25c5c91f63607446a97b143d2d535d31,275,161379.92,586.84,0.0582,3.73,55668.29,7168.2
7a67c85e85bb2ce8582c35f2203ad736,1229,167205,136.05,0.057,4.26,148662.95,21854.42
5656537e588803a555b8eb41f07a944b,189,14702.07,77.79,0.0794,3.82,8030.62,3395.95
ffc470761de7d0232558ba5e786e57b7,32,2382.53,74.45,0.0625,4.28,1640.03,447.77
9c0e69c7bf2619675bbadf47b43f655a,207,65545.48,316.64,0.0966,4.06,34026.15,2944.16
f4aba7c0bca51484c30ab7bdc34bcdd1,120,5043.06,42.03,0.075,3.81,3063.67,1572.16
f45122a9ab94eb4f3f8953578bc0c560,207,27646.48,133.56,0.0676,3.92,22463.86,3442.38
3340ef1913fb70d28420f6ceb685c339,44,11887.28,270.17,0.0909,4.36,6921.13,780.06
2a84855fd20af891be03bc5924d2b453,162,19754.89,121.94,0.0309,4.37,15423.8,3401.7
ff063b022a9a0aab91bad2c9088760b7,98,14862.57,151.66,0.0306,4.29,12268.5,2014.35
8a32e327fe2c1b3511609d81aaf9f042,179,13975.58,78.08,0.0559,3.98,6571.02,2379.37
b2ba3715d723d245138f291a6fe42594,365,62357.93,170.84,0.0822,4.22,52119.68,6735.25
c3cfdc648177fdbbbb35635a37472c53,325,59959.46,184.49,0.0215,4.46,45097.08,6421.87
5f3ae9136c875522250f8184f253413a,46,1946.11,42.31,0.0652,4.59,1158,611.95
e8b4225284fbb02d16f200513f1f395d,31,6912.6,222.99,0.0968,4.32,6040.32,1324.87
9f505651f4a6abe901a56cdc21508025,459,36382.15,79.26,0.0436,4.27,26607.51,6567.99
955fee9216a65b617aa5c0531780ce60,1503,232228.24,154.51,0.0812,4.09,134070.01,25209.5
87142160b41353c4e5fca2360caf6f92,353,49668.96,140.71,0.0538,4.36,32159.28,7635.72
0887a9f087bcd5d9f6642b52f897fc6c,12,1862.35,155.2,0.0833,4.42,1642,220.35
12b9676b00f60f3b700e83af21824c0e,139,30147.27,216.89,0.0216,4.54,27687,3697.63
99eaacc9e6046db1c82b163c5f84869f,69,15952.54,231.2,0.1014,4.01,12965.28,1108.7
8f78f0903005064036736c7173a5c2ed,23,4275.12,185.87,0.0435,3.26,2223.5,673.99
058fd0aa2bfdb2274e05e1ae971dabb6,65,9328.84,143.52,0.0769,4.34,7771.9,902.44
900ba814c251a692506d7834c1218441,89,31443.25,353.29,0.1573,4.18,29698.99,2427.25
d3dcf0604eabf0224fbd5948b5e02f69,10,3067.41,306.74,0.3,4,3451.3,183.11
6c7d50c24b3ccd2fd83b44d8bb34e073,134,15057.27,112.37,0.0149,4.44,9053.82,2873.34
b1a81260566c1bac3114a6d124413f27,58,11498.32,198.25,0.0172,4.21,9254.29,1754.18
00720abe85ba0859807595bbf045a33b,26,3118.4,119.94,0.0769,3.65,1007.5,315.98
0241d4d5d36f10f80c644447315af0bd,265,42624.39,160.85,0.0528,4.31,33888.2,7420.74
7299e27ed73d2ad986de7f7c77d919fa,368,46525.39,126.43,0.0462,4.44,36068.38,7102.09
fa40cc5b934574b62717c68f3d678b6d,351,26394.01,75.2,0.0598,4.43,16534.86,4688.1
8e6cc767478edae941d9bd9eb778d77a,125,9214.33,73.71,0.064,4.06,7146.59,2859.73
855668e0971d4dfd7bef1b6a4133b41b,322,40376.57,125.39,0.1335,3.86,32297.2,7849.32
0dd184061fb0eaa7ca37932c68ab91c5,196,35563.15,181.44,0.102,3.94,18832.92,5391.75
